Age,Years_of_Experience,Job_Title,Department,Education_Level,Location_Tier,Performance_Rating,Certifications,Target_Salary
35,8,Engineering Manager,Finance,Master's,Tier 3 / Remote,4,1,151572.41
52,21,Lead Data Scientist,Human Resources,Bachelor's,Tier 1,2,2,206901.85
36,2,Engineering Manager,Data & Analytics,Bachelor's,Tier 2,3,1,136909.13
29,8,Marketing Specialist,Finance,Master's,Tier 1,3,1,128740.73
35,14,HR Specialist,Product,Master's,Tier 2,4,2,127882.2
44,17,Senior Software Engineer,Engineering,Master's,Tier 2,5,1,189526.44
61,19,Sales Executive,Product,Bachelor's,Tier 1,1,0,129970.66
42,12,Product Manager,Data & Analytics,Bachelor's,Tier 3 / Remote,3,1,129057.86
37,9,Lead Data Scientist,Data & Analytics,Bachelor's,Tier 3 / Remote,3,3,135792.06
39,1,HR Specialist,Data & Analytics,Bachelor's,Tier 2,3,1,68171.17
45,20,Engineering Manager,Finance,Master's,Tier 1,3,4,246621.03
47,18,HR Manager,Product,PhD,Tier 1,1,5,193926.47
46,8,HR Manager,Product,Bachelor's,Tier 1,2,1,127775.05
62,39,Financial Analyst,Product,Master's,Tier 1,3,1,248689.18
50,21,Engineering Manager,Finance,Master's,Tier 1,3,0,245280.7
36,12,Senior Software Engineer,Data & Analytics,PhD,Tier 1,2,0,195125.51
22,2,Software Engineer,Finance,Bachelor's,Tier 1,3,0,88660.27
46,5,HR Specialist,Product,High School,Tier 3 / Remote,4,2,67042.85
28,8,Lead Data Scientist,Human Resources,Bachelor's,Tier 2,4,2,156542.69
30,1,Financial Analyst,Engineering,Bachelor's,Tier 2,3,2,85417.76
45,6,Sales Executive,Sales & Marketing,Bachelor's,Tier 2,3,1,89602.1
22,2,Marketing Specialist,Sales & Marketing,PhD,Tier 3 / Remote,2,1,86106.21
29,2,Product Manager,Product,Bachelor's,Tier 1,3,1,139483.27
45,18,HR Manager,Data & Analytics,Master's,Tier 1,4,0,192942.21
32,3,Lead Data Scientist,Finance,PhD,Tier 1,1,0,175570.96
38,12,Product Manager,Finance,Master's,Tier 2,3,2,157844.0
29,4,Senior Software Engineer,Engineering,Master's,Tier 1,3,1,151464.5
56,36,Sales Executive,Sales & Marketing,Master's,Tier 3 / Remote,4,0,175719.15
56,25,Lead Data Scientist,Finance,Bachelor's,Tier 2,3,4,199021.01
54,32,Product Manager,Human Resources,Master's,Tier 2,4,0,226797.41
26,1,Lead Data Scientist,Finance,Master's,Tier 2,4,2,152956.74
60,21,Product Manager,Finance,Bachelor's,Tier 3 / Remote,2,1,132803.55
62,10,Senior Software Engineer,Sales & Marketing,Master's,Tier 1,3,0,174276.47
49,14,Financial Analyst,Product,Master's,Tier 1,3,1,163048.56
28,1,HR Manager,Sales & Marketing,Bachelor's,Tier 3 / Remote,3,0,83377.22
30,1,HR Specialist,Engineering,Bachelor's,Tier 2,3,1,72595.99
29,8,HR Specialist,Data & Analytics,Bachelor's,Tier 2,4,2,95552.31
33,0,Financial Analyst,Engineering,High School,Tier 1,3,1,91939.59
55,17,Marketing Specialist,Human Resources,PhD,Tier 1,2,0,164234.66
54,31,Sales Executive,Sales & Marketing,Bachelor's,Tier 2,5,0,181141.05
44,9,Senior Software Engineer,Data & Analytics,Master's,Tier 1,4,4,188890.03
45,8,HR Manager,Engineering,Bachelor's,Tier 2,2,0,102841.84
58,26,HR Manager,Human Resources,Master's,Tier 3 / Remote,5,1,176754.21
56,25,Engineering Manager,Sales & Marketing,Bachelor's,Tier 2,5,2,231924.88
61,20,Product Manager,Sales & Marketing,PhD,Tier 2,4,0,205198.78
43,19,Lead Data Scientist,Sales & Marketing,Bachelor's,Tier 2,3,0,182047.31
48,8,Lead Data Scientist,Engineering,Bachelor's,Tier 3 / Remote,4,2,135806.7
56,3,Software Engineer,Finance,Master's,Tier 2,2,2,94630.39
22,2,Engineering Manager,Finance,Bachelor's,Tier 1,2,1,149971.92
56,22,Engineering Manager,Engineering,Bachelor's,Tier 1,3,0,222681.89
58,15,Lead Data Scientist,Product,Master's,Tier 2,3,1,185208.38
35,0,Engineering Manager,Product,Master's,Tier 3 / Remote,3,3,122335.96
24,2,Lead Data Scientist,Finance,PhD,Tier 1,4,5,217276.17
22,1,Software Engineer,Product,PhD,Tier 2,4,1,115833.54
26,2,Lead Data Scientist,Human Resources,Master's,Tier 3 / Remote,4,1,126140.78
47,3,HR Specialist,Sales & Marketing,PhD,Tier 1,4,1,138011.15
35,13,Software Engineer,Product,Bachelor's,Tier 1,3,1,133216.98
60,27,HR Specialist,Data & Analytics,Bachelor's,Tier 1,4,1,184973.27
48,7,HR Manager,Product,Bachelor's,Tier 2,3,3,120991.12
30,8,Product Manager,Data & Analytics,Master's,Tier 2,4,1,158168.55
36,16,HR Manager,Product,Master's,Tier 1,4,2,200782.16
36,2,Sales Executive,Human Resources,Master's,Tier 2,3,1,89816.19
47,2,HR Specialist,Data & Analytics,Master's,Tier 2,5,1,95853.26
34,11,Sales Executive,Product,Bachelor's,Tier 1,3,4,132817.65
53,20,Financial Analyst,Product,Bachelor's,Tier 1,2,2,149775.86
60,36,Marketing Specialist,Sales & Marketing,Master's,Tier 1,3,3,230074.25
53,26,Sales Executive,Product,PhD,Tier 2,3,1,183032.73
25,4,Financial Analyst,Sales & Marketing,Bachelor's,Tier 1,2,5,109882.8
51,21,Engineering Manager,Product,Bachelor's,Tier 2,3,0,193185.15
58,5,Financial Analyst,Product,Bachelor's,Tier 2,2,1,93561.28
44,22,Senior Software Engineer,Data & Analytics,Bachelor's,Tier 1,2,0,189906.96
60,32,Engineering Manager,Finance,Bachelor's,Tier 1,3,0,268079.95
36,8,HR Specialist,Human Resources,High School,Tier 2,3,3,81709.97
50,4,HR Specialist,Product,Master's,Tier 2,4,2,96324.43
57,37,Software Engineer,Finance,Master's,Tier 1,3,0,243354.99
34,11,Financial Analyst,Data & Analytics,Master's,Tier 1,3,1,160903.11
53,3,Senior Software Engineer,Sales & Marketing,Master's,Tier 2,5,1,144761.45
28,2,Marketing Specialist,Human Resources,Bachelor's,Tier 1,3,3,93741.06
43,1,Software Engineer,Human Resources,Master's,Tier 3 / Remote,2,0,72572.25
49,9,Financial Analyst,Finance,Bachelor's,Tier 1,3,2,132441.37
23,2,Lead Data Scientist,Finance,Bachelor's,Tier 1,2,1,144694.96
27,3,HR Specialist,Engineering,PhD,Tier 1,3,0,122111.11
49,3,Senior Software Engineer,Finance,Bachelor's,Tier 1,3,0,130029.31
49,14,Engineering Manager,Data & Analytics,Bachelor's,Tier 1,2,1,193963.55
41,13,Product Manager,Human Resources,Bachelor's,Tier 2,4,0,147574.47
51,31,Lead Data Scientist,Sales & Marketing,Bachelor's,Tier 2,2,1,207777.7
32,12,Financial Analyst,Engineering,Master's,Tier 3 / Remote,3,1,110894.1
49,16,Engineering Manager,Human Resources,Bachelor's,Tier 2,2,1,163398.16
46,21,HR Manager,Human Resources,Bachelor's,Tier 1,2,2,173684.57
60,26,Sales Executive,Engineering,Bachelor's,Tier 1,4,1,190331.66
54,4,Marketing Specialist,Data & Analytics,Bachelor's,Tier 1,4,0,98542.57
22,1,Sales Executive,Product,Master's,Tier 1,2,3,103281.43
48,9,Sales Executive,Product,Master's,Tier 2,5,2,136573.14
34,9,HR Manager,Product,Bachelor's,Tier 2,4,4,131364.11
62,18,Engineering Manager,Sales & Marketing,Master's,Tier 3 / Remote,3,2,167924.15
24,0,HR Specialist,Human Resources,Bachelor's,Tier 3 / Remote,5,0,66396.42
60,27,Lead Data Scientist,Data & Analytics,PhD,Tier 2,4,0,247637.81
27,1,Financial Analyst,Human Resources,Bachelor's,Tier 1,4,2,109075.79
29,2,Marketing Specialist,Data & Analytics,Master's,Tier 1,3,0,105179.44
48,14,Sales Executive,Engineering,Master's,Tier 2,3,2,135121.64
30,3,Financial Analyst,Product,Bachelor's,Tier 1,1,1,87496.46
58,20,HR Specialist,Finance,PhD,Tier 1,4,0,194306.0
54,13,Lead Data Scientist,Data & Analytics,Master's,Tier 1,3,2,214011.43
45,5,Engineering Manager,Human Resources,Bachelor's,Tier 2,4,3,158062.81
36,4,Software Engineer,Finance,PhD,Tier 3 / Remote,1,0,93975.19
53,16,Engineering Manager,Engineering,Bachelor's,Tier 3 / Remote,3,1,150111.69
53,17,Financial Analyst,Sales & Marketing,Bachelor's,Tier 3 / Remote,3,2,111260.83
45,24,Product Manager,Data & Analytics,Bachelor's,Tier 3 / Remote,2,3,150684.84
62,20,Lead Data Scientist,Engineering,Bachelor's,Tier 3 / Remote,3,1,159263.91
33,8,Product Manager,Sales & Marketing,Bachelor's,Tier 1,3,3,166228.51
60,30,HR Manager,Engineering,Master's,Tier 2,3,3,201174.02
23,2,Sales Executive,Product,Bachelor's,Tier 2,1,2,74251.59
24,0,Marketing Specialist,Finance,Master's,Tier 2,4,2,98781.39
58,18,Product Manager,Finance,Bachelor's,Tier 3 / Remote,4,0,149760.12
38,18,Sales Executive,Data & Analytics,Master's,Tier 1,3,1,167723.91
23,0,Engineering Manager,Finance,Bachelor's,Tier 2,3,0,128262.46
23,3,Lead Data Scientist,Human Resources,Bachelor's,Tier 2,3,2,132563.64
49,13,Financial Analyst,Finance,Master's,Tier 2,5,0,142668.67
44,24,HR Manager,Human Resources,Master's,Tier 2,3,0,179592.01
58,18,Product Manager,Sales & Marketing,Master's,Tier 1,3,3,214210.93
53,22,HR Specialist,Engineering,Bachelor's,Tier 3 / Remote,1,1,99958.91
54,18,Engineering Manager,Data & Analytics,Bachelor's,Tier 2,3,2,175635.23
22,0,Product Manager,Sales & Marketing,Bachelor's,Tier 2,1,0,96975.34
40,11,Marketing Specialist,Data & Analytics,Bachelor's,Tier 3 / Remote,3,0,86160.52
23,3,Software Engineer,Data & Analytics,Master's,Tier 2,3,0,102165.95
47,18,Senior Software Engineer,Product,PhD,Tier 2,3,0,185853.86
53,9,Senior Software Engineer,Engineering,Master's,Tier 2,3,1,145102.53
27,7,Sales Executive,Sales & Marketing,Bachelor's,Tier 2,3,0,91011.47
53,1,Product Manager,Human Resources,Bachelor's,Tier 3 / Remote,2,3,97826.16
25,0,Software Engineer,Engineering,Master's,Tier 1,1,0,98167.14
32,9,Senior Software Engineer,Human Resources,Bachelor's,Tier 1,3,1,159100.32
38,11,Marketing Specialist,Finance,Master's,Tier 3 / Remote,2,1,93442.22
59,23,Lead Data Scientist,Human Resources,Bachelor's,Tier 3 / Remote,3,0,165635.13
45,17,Lead Data Scientist,Human Resources,Bachelor's,Tier 2,4,0,189535.03
26,2,Software Engineer,Sales & Marketing,Bachelor's,Tier 2,3,1,78326.83
55,23,Senior Software Engineer,Product,Master's,Tier 2,3,2,188905.78
27,7,Software Engineer,Finance,Master's,Tier 3 / Remote,4,0,100870.04
43,19,Senior Software Engineer,Human Resources,High School,Tier 2,3,4,158574.76
32,1,Software Engineer,Human Resources,Bachelor's,Tier 2,3,1,82517.42
37,5,HR Manager,Finance,Bachelor's,Tier 3 / Remote,4,1,95501.69
54,13,Financial Analyst,Finance,Bachelor's,Tier 2,3,0,110953.73
30,7,Lead Data Scientist,Finance,Master's,Tier 3 / Remote,3,4,133579.47
27,2,Marketing Specialist,Finance,Master's,Tier 1,3,1,106707.48
37,7,Lead Data Scientist,Engineering,Master's,Tier 3 / Remote,3,0,137445.59
50,7,Financial Analyst,Engineering,Master's,Tier 3 / Remote,3,0,100199.38
24,1,HR Specialist,Sales & Marketing,Master's,Tier 1,3,1,100396.19
41,10,Marketing Specialist,Human Resources,PhD,Tier 3 / Remote,4,4,128740.19
57,12,HR Manager,Sales & Marketing,Master's,Tier 1,3,3,176544.37
40,2,HR Specialist,Engineering,Master's,Tier 2,4,0,89358.48
47,5,Sales Executive,Engineering,Master's,Tier 1,3,0,116061.34
24,1,Senior Software Engineer,Data & Analytics,Master's,Tier 3 / Remote,4,2,109598.68
40,0,Software Engineer,Data & Analytics,Bachelor's,Tier 1,3,1,97684.5
41,15,Financial Analyst,Finance,Bachelor's,Tier 1,3,0,146081.11
53,26,Senior Software Engineer,Engineering,Bachelor's,Tier 3 / Remote,3,2,160533.57
28,8,HR Specialist,Sales & Marketing,PhD,Tier 3 / Remote,4,2,114268.09
62,20,Software Engineer,Sales & Marketing,High School,Tier 2,4,2,132088.96
54,0,Software Engineer,Sales & Marketing,Bachelor's,Tier 3 / Remote,2,5,68460.72
61,17,Software Engineer,Product,Master's,Tier 1,3,0,162288.43
60,15,Software Engineer,Product,High School,Tier 1,3,1,134919.11
39,5,Senior Software Engineer,Sales & Marketing,Master's,Tier 2,4,3,138756.12
61,17,Senior Software Engineer,Sales & Marketing,Bachelor's,Tier 2,4,1,160213.13
22,1,Marketing Specialist,Data & Analytics,Master's,Tier 2,2,0,82327.4
32,0,Software Engineer,Human Resources,Bachelor's,Tier 2,3,0,72601.19
49,25,Sales Executive,Product,Bachelor's,Tier 2,2,1,133673.71
46,5,HR Specialist,Engineering,High School,Tier 2,4,3,76464.74
44,10,Marketing Specialist,Product,Bachelor's,Tier 1,2,0,104762.02
52,1,Engineering Manager,Sales & Marketing,High School,Tier 1,3,1,145362.38
51,24,HR Specialist,Finance,Master's,Tier 1,5,0,200332.52
56,2,Senior Software Engineer,Product,Master's,Tier 2,2,2,119139.66
28,7,HR Specialist,Product,Master's,Tier 1,2,1,104407.4
37,8,HR Specialist,Sales & Marketing,Master's,Tier 2,2,0,102155.71
47,9,Software Engineer,Human Resources,Bachelor's,Tier 1,2,1,110789.61
23,0,Software Engineer,Engineering,Master's,Tier 1,1,2,97384.0
22,1,HR Manager,Sales & Marketing,Master's,Tier 1,3,2,137243.04
33,12,Engineering Manager,Finance,High School,Tier 2,4,3,165020.39
26,3,Sales Executive,Product,Master's,Tier 3 / Remote,3,1,78522.77
58,29,Marketing Specialist,Human Resources,Bachelor's,Tier 1,3,0,180329.1
53,5,Senior Software Engineer,Data & Analytics,Master's,Tier 2,4,1,137123.97
30,10,Engineering Manager,Sales & Marketing,Bachelor's,Tier 1,4,0,198763.0
62,33,Software Engineer,Human Resources,Master's,Tier 1,4,0,232725.24
56,14,Product Manager,Human Resources,Master's,Tier 1,2,3,186880.83
40,14,Financial Analyst,Human Resources,Bachelor's,Tier 3 / Remote,3,0,105391.55
37,3,Marketing Specialist,Data & Analytics,Master's,Tier 1,3,4,116914.27
24,1,Marketing Specialist,Human Resources,Bachelor's,Tier 3 / Remote,5,4,76124.33
41,10,HR Specialist,Sales & Marketing,PhD,Tier 1,3,1,153262.18
45,6,Senior Software Engineer,Data & Analytics,Master's,Tier 1,4,3,170504.23
54,14,HR Specialist,Finance,Master's,Tier 2,2,0,110519.59
45,19,Product Manager,Product,High School,Tier 1,3,1,184227.57
32,2,Senior Software Engineer,Finance,Bachelor's,Tier 2,3,0,102018.54
29,9,Senior Software Engineer,Human Resources,Bachelor's,Tier 2,2,4,128984.29
57,23,Sales Executive,Sales & Marketing,Master's,Tier 2,5,0,165635.35
59,37,Lead Data Scientist,Human Resources,Bachelor's,Tier 2,3,0,232813.35
61,1,Product Manager,Data & Analytics,Master's,Tier 1,1,1,128561.14
41,6,Software Engineer,Sales & Marketing,Bachelor's,Tier 1,3,0,110464.21
56,34,HR Specialist,Sales & Marketing,Bachelor's,Tier 1,4,0,210053.75
46,7,Product Manager,Product,Bachelor's,Tier 2,3,0,131121.73
56,25,Marketing Specialist,Sales & Marketing,PhD,Tier 2,2,1,153405.27
46,14,Software Engineer,Finance,High School,Tier 1,3,1,119927.79
50,10,Lead Data Scientist,Engineering,Bachelor's,Tier 2,3,2,155354.15
39,9,HR Specialist,Sales & Marketing,Master's,Tier 1,1,0,109036.56
39,16,HR Specialist,Data & Analytics,Master's,Tier 2,3,3,138981.15
23,1,Lead Data Scientist,Finance,Bachelor's,Tier 1,5,0,168769.44
56,17,HR Specialist,Human Resources,Bachelor's,Tier 2,3,0,111974.15
37,0,Product Manager,Finance,Bachelor's,Tier 2,3,1,107973.37
62,1,HR Specialist,Product,PhD,Tier 1,4,0,126390.44
57,31,Senior Software Engineer,Engineering,High School,Tier 3 / Remote,2,0,149187.86
54,30,Senior Software Engineer,Data & Analytics,Master's,Tier 1,5,2,280511.48
25,1,Engineering Manager,Sales & Marketing,PhD,Tier 1,3,2,199974.85
54,11,Marketing Specialist,Data & Analytics,Master's,Tier 1,3,2,140708.67
35,12,Lead Data Scientist,Product,Bachelor's,Tier 2,2,2,152378.97
42,15,Sales Executive,Product,Bachelor's,Tier 2,3,0,113785.37
41,2,HR Manager,Human Resources,Bachelor's,Tier 2,3,0,98176.6
29,3,HR Specialist,Data & Analytics,Master's,Tier 1,3,2,110973.81
28,4,Engineering Manager,Data & Analytics,Bachelor's,Tier 3 / Remote,3,4,128072.2
24,2,HR Manager,Product,Master's,Tier 2,4,0,112084.56
38,4,Sales Executive,Human Resources,Master's,Tier 2,3,3,96235.24
54,18,Senior Software Engineer,Data & Analytics,High School,Tier 2,4,1,155102.81
33,10,Sales Executive,Finance,PhD,Tier 3 / Remote,3,1,113856.95
43,16,Software Engineer,Finance,Master's,Tier 2,3,0,136002.32
43,6,HR Specialist,Sales & Marketing,Master's,Tier 2,3,4,102482.71
51,3,Senior Software Engineer,Product,Bachelor's,Tier 3 / Remote,4,5,104197.95
59,35,Engineering Manager,Finance,High School,Tier 3 / Remote,2,4,177158.52
59,31,Engineering Manager,Engineering,Bachelor's,Tier 2,3,2,219624.84
29,6,Software Engineer,Data & Analytics,Bachelor's,Tier 1,3,2,113170.75
48,18,Financial Analyst,Data & Analytics,PhD,Tier 2,2,0,151963.12
48,1,Marketing Specialist,Human Resources,Master's,Tier 3 / Remote,3,2,72598.65
55,10,Engineering Manager,Sales & Marketing,Master's,Tier 1,4,0,216526.5
42,18,HR Specialist,Product,Master's,Tier 1,3,1,160644.14
51,22,Lead Data Scientist,Finance,Bachelor's,Tier 1,5,3,255143.35
54,7,HR Specialist,Sales & Marketing,High School,Tier 2,5,0,77054.3
49,8,Sales Executive,Finance,Bachelor's,Tier 2,3,0,90945.72
54,13,Senior Software Engineer,Human Resources,Master's,Tier 1,3,1,185775.64
26,6,Product Manager,Engineering,Bachelor's,Tier 3 / Remote,4,0,127752.39
40,15,HR Manager,Data & Analytics,PhD,Tier 2,5,0,182491.13
25,1,Financial Analyst,Data & Analytics,Master's,Tier 1,2,2,117124.35
56,34,Senior Software Engineer,Engineering,Master's,Tier 2,5,1,243110.47
38,1,Financial Analyst,Data & Analytics,Master's,Tier 1,1,0,96800.99
49,0,HR Specialist,Sales & Marketing,PhD,Tier 3 / Remote,4,1,89519.42
51,31,Software Engineer,Engineering,PhD,Tier 3 / Remote,4,0,184077.61
50,7,HR Manager,Engineering,Master's,Tier 3 / Remote,5,2,124108.99
27,6,HR Specialist,Engineering,Bachelor's,Tier 1,3,3,103294.53
56,31,Financial Analyst,Sales & Marketing,Bachelor's,Tier 1,3,0,201356.69
62,37,Financial Analyst,Sales & Marketing,Bachelor's,Tier 2,2,2,179820.51
58,34,Software Engineer,Engineering,Master's,Tier 2,3,3,193254.86
45,13,Sales Executive,Finance,Master's,Tier 3 / Remote,5,2,118561.02
50,21,Lead Data Scientist,Sales & Marketing,High School,Tier 2,4,4,193608.19
52,26,Product Manager,Data & Analytics,Master's,Tier 1,5,0,261731.94
56,20,Software Engineer,Sales & Marketing,Bachelor's,Tier 1,3,0,161999.74
54,28,HR Manager,Human Resources,High School,Tier 1,3,2,202713.03
42,12,Lead Data Scientist,Human Resources,Bachelor's,Tier 2,4,3,173382.75
53,33,HR Specialist,Sales & Marketing,Master's,Tier 2,4,0,181342.99
44,1,Software Engineer,Data & Analytics,Bachelor's,Tier 1,4,4,113576.62
54,9,Marketing Specialist,Human Resources,Bachelor's,Tier 2,3,0,88741.68
24,2,Product Manager,Product,PhD,Tier 1,3,1,170326.59
39,15,Senior Software Engineer,Human Resources,Bachelor's,Tier 2,3,0,148653.52
46,9,Sales Executive,Data & Analytics,High School,Tier 3 / Remote,3,1,74576.88
52,25,Senior Software Engineer,Product,PhD,Tier 1,5,2,279951.87
24,3,Software Engineer,Human Resources,Master's,Tier 2,5,2,117255.19
61,26,Senior Software Engineer,Finance,Bachelor's,Tier 3 / Remote,3,3,160317.5
45,18,HR Manager,Product,PhD,Tier 1,4,1,224415.42
53,3,Marketing Specialist,Finance,Bachelor's,Tier 1,4,0,96843.96
43,1,Marketing Specialist,Data & Analytics,Bachelor's,Tier 1,4,0,90189.17
44,8,Product Manager,Sales & Marketing,Bachelor's,Tier 2,3,1,134574.74
23,2,Engineering Manager,Data & Analytics,Bachelor's,Tier 1,3,2,164742.86
48,2,Senior Software Engineer,Data & Analytics,Bachelor's,Tier 1,3,2,127169.37
23,2,HR Manager,Product,Bachelor's,Tier 3 / Remote,3,2,84917.0
47,24,Sales Executive,Finance,Bachelor's,Tier 2,4,2,156044.27
38,5,HR Manager,Data & Analytics,PhD,Tier 1,1,1,148586.61
61,0,Financial Analyst,Engineering,Bachelor's,Tier 2,1,0,79327.83
54,11,Lead Data Scientist,Engineering,Bachelor's,Tier 2,2,0,142144.5
30,9,Financial Analyst,Finance,Bachelor's,Tier 3 / Remote,3,0,93626.13
60,17,Marketing Specialist,Sales & Marketing,High School,Tier 3 / Remote,4,2,103497.52
50,8,Product Manager,Sales & Marketing,Bachelor's,Tier 3 / Remote,3,3,119626.56
47,4,Engineering Manager,Product,Master's,Tier 2,4,2,162554.28
56,12,HR Specialist,Data & Analytics,Bachelor's,Tier 2,3,1,102060.49
46,17,HR Specialist,Engineering,Bachelor's,Tier 2,2,1,107362.99
45,14,Marketing Specialist,Human Resources,PhD,Tier 3 / Remote,4,0,127898.31
34,14,HR Specialist,Human Resources,PhD,Tier 2,3,0,140086.6
28,5,HR Specialist,Product,Master's,Tier 3 / Remote,2,5,76970.02
57,12,Lead Data Scientist,Sales & Marketing,Bachelor's,Tier 1,2,4,190343.26
41,11,Lead Data Scientist,Engineering,Bachelor's,Tier 3 / Remote,3,2,134984.31
22,1,Sales Executive,Data & Analytics,Master's,Tier 3 / Remote,4,0,80713.83
29,9,Product Manager,Sales & Marketing,Bachelor's,Tier 1,3,0,159943.96
37,0,Lead Data Scientist,Data & Analytics,Bachelor's,Tier 1,5,3,176352.97
35,10,Software Engineer,Human Resources,Bachelor's,Tier 2,5,4,127059.33
33,0,Sales Executive,Product,Bachelor's,Tier 2,5,0,80013.21
44,17,Software Engineer,Data & Analytics,Master's,Tier 2,2,1,133233.93
36,10,HR Specialist,Sales & Marketing,High School,Tier 3 / Remote,5,4,88835.61
49,8,Senior Software Engineer,Product,Bachelor's,Tier 1,4,2,159478.47
55,0,Senior Software Engineer,Data & Analytics,Bachelor's,Tier 1,3,2,128548.31
23,2,Engineering Manager,Data & Analytics,Bachelor's,Tier 2,3,3,141608.21
53,21,HR Manager,Sales & Marketing,Bachelor's,Tier 3 / Remote,4,1,139874.36
