Age,Years_of_Experience,Target_Salary
33,31,12524.48214391024
52,12,17005.008265268043
23,4,8575.790142372827
56,36,19948.219748259453
44,16,20561.744749822054
38,32,25261.256664275486
47,6,8082.760351360865
29,30,30843.8242372733
50,32,21032.4534443089
47,13,12900.938907024594
31,16,20386.776729720128
47,36,32898.609378265646
55,23,25328.10898034342
28,10,15070.762103576533
25,32,17633.56694383086
32,36,26481.647908170795
50,35,22535.251222850347
57,8,16856.766382542643
46,28,29307.941756528064
42,31,27728.809287845033
57,20,14628.138296158922
31,32,19345.497051995702
58,3,7754.545717111774
30,30,17635.784254471393
45,2,12313.776431310514
56,0,17641.767176531088
56,13,19752.45535587865
57,2,1639.9344827738223
39,13,12960.935879843479
53,36,23822.15663265701
45,24,15642.356920195343
44,0,-2430.1279555901656
53,14,14031.784867007633
58,29,23375.296274906344
33,1,5058.565026784295
34,3,10800.331951343504
44,0,13542.771693259412
46,39,38770.22115349979
56,9,8963.751967732947
51,29,21654.868688118677
38,7,7708.480901490864
41,4,14111.988522181184
46,14,16421.33508604238
43,28,17116.453379340157
34,4,10205.090197003014
40,4,12346.392658236702
57,34,34750.30874843189
33,27,12944.67915875751
40,27,13247.707944309688
33,5,5850.464336943796
30,11,6945.872884837869
28,32,24668.160096844804
49,34,20326.643683940696
35,22,21587.03044792724
52,7,12864.336210157371
40,20,17366.181702342066
37,38,18277.792310583285
26,24,10074.157915839956
56,16,12832.162201794206
33,23,15247.916926468455
46,6,8630.368812247907
42,1,16137.882190395172
57,26,19377.05403413932
44,17,23711.47083162753
37,5,3565.0302731371003
35,33,21904.975837019098
52,36,24546.48524707191
26,0,4063.334609278479
56,19,21618.361001825284
44,31,28118.47786655678
50,25,23253.302868510324
32,28,19019.067694417074
39,24,14191.79055883443
33,25,16528.63804362672
30,27,22525.207664022622
31,19,13102.31462671198
38,15,9891.420990305429
59,8,11068.433423673154
28,31,31902.882684144293
34,32,23549.62173458083
30,18,8471.296594820153
48,0,4152.750301830058
23,25,18246.05517285345
26,6,17722.64839608421
50,6,9841.096050423303
58,7,15722.826587021753
59,39,23972.29476436525
40,27,19377.27388993379
29,35,17853.48368005488
22,23,17679.465611127678
43,8,15833.834388610543
38,16,6389.210177881716
28,29,21220.783481474675
46,30,27867.612327006886
25,23,12660.445769734994
57,6,12574.931762619804
27,34,20456.460063802755
52,17,13123.777158263514
40,23,11938.651719598489
48,6,7808.187650876096
31,28,19817.476957840026
47,8,15621.530130072302
40,39,23963.233168436866
24,20,13146.22771298678
34,4,12377.307006308245
49,24,20811.984965381438
41,8,14238.277216406219
49,10,11534.53436429333
29,25,20949.4344627441
22,35,25565.844771213717
24,25,17116.140636555043
34,24,13894.118632575382
49,34,28946.48882170602
46,3,9412.962851339564
54,24,20908.886252564436
59,36,27695.703282410024
27,4,8425.249246932364
53,4,10274.082304244675
42,3,11795.40889837495
37,36,27220.75301862023
42,5,1111.8943792695136
32,14,6386.001327059551
58,39,19050.316501755027
57,3,9559.963906067087
56,36,27204.342904775494
40,2,15591.36202046967
41,28,15322.880787926384
39,18,14870.739198807383
35,33,21897.959449379287
36,12,17950.986010301876
52,10,11165.993694336106
22,27,11184.793039873193
24,10,8416.637271198028
37,1,689.3218225614801
44,6,14765.846617205532
32,33,16285.870143136723
33,6,-675.8764623290099
31,8,3671.63886370362
53,5,7498.432160990914
37,5,13039.55382723985
29,17,14741.704803697867
59,20,11905.780566197243
33,35,18284.372534164726
45,33,28737.74747663456
49,7,10476.627133670065
29,14,5375.232252773791
49,19,15920.338063259103
57,4,10359.341355967195
47,20,17161.431574417325
29,16,17185.912573295343
49,29,17709.194264616894
49,33,21053.59631998337
58,3,2993.6779279426073
57,4,9441.15401517937
48,37,29702.02087707525
38,9,11817.31877589251
30,10,11213.7898264274
54,35,30432.479899905524
41,17,24721.310225827234
34,34,25556.109280054978
49,15,25251.01417874582
50,23,15003.312605322237
34,7,12394.682715986355
56,6,7211.724815336801
27,8,4827.3876376493545
39,21,20326.82797574513
26,14,15204.453508093873
46,16,12300.59227470385
23,13,960.7766517859673
31,28,25512.237412951985
51,11,23322.358249811004
26,3,1222.485987277655
54,21,11009.216375599492
22,26,13884.075048764405
39,35,29906.93421219777
53,5,1515.0725706896883
32,29,20656.712011721414
42,21,23402.456336295174
47,6,17942.47465193253
46,10,17445.114904755843
43,22,23253.704960576113
48,5,10375.950688142948
34,26,14659.464514930529
54,6,7673.971807585728
55,1,15755.698602546914
56,20,29024.094181216373
22,33,22277.71507940461
42,34,24082.886421416864
27,31,13295.345955680057
49,35,29813.033425326103
38,32,23931.814612482314
26,25,15360.172550699228
52,9,9870.376506398994
26,6,7811.94728676339
59,5,6253.156853127247
24,18,16363.038468980541
44,34,23253.65740736643
58,11,17744.7797714119
58,4,8161.759947078925
31,31,26622.72689217746
31,29,17130.27852381164
40,13,14304.921124548446
38,23,17094.489990731367
42,24,27134.331095044792
35,10,22523.164056434704
30,28,10606.440906382924
22,3,2203.2098557312074
34,34,27435.86957305368
25,14,15447.78951940194
22,13,15367.74431929433
53,4,18454.542977643152
55,8,10877.492069692607
49,17,20977.254327264574
52,32,26907.703811987718
29,25,23903.948164405916
47,27,23024.422280076225
55,33,24303.502183443008
24,5,7225.903100990705
33,18,14472.56746929709
22,39,34914.026976907706
26,26,11372.985327271464
51,4,13146.653823664432
51,28,23713.77942887603
38,27,23502.95881766757
44,20,14005.390543356501
36,18,8517.087231668858
58,2,7581.596651738106
42,5,7529.029900800516
35,31,29632.561587346165
23,24,21175.231026044672
32,24,22322.583040815916
59,30,30428.821513250678
55,2,13871.645493300804
59,5,10082.819047541612
55,39,27669.858027361548
39,15,11458.80848547064
51,39,30953.05105423695
36,12,17503.182972766896
48,11,19099.358719716896
55,22,21569.046773963884
59,17,14979.18464831671
54,35,27028.236099414557
45,35,27089.285492020383
36,10,18099.3467309494
51,24,18835.106687073378
38,19,15680.691184845533
26,13,9624.203882625656
50,28,26345.738091559844
25,9,17914.88241325024
31,8,7541.520497991671
38,35,21978.67510614687
31,12,619.4123037954887
38,9,11955.271796415806
41,25,23918.967010189757
45,30,14417.706367148696
26,8,17412.24066688228
55,0,7519.047577039246
27,9,14049.916664317485
23,0,7803.722814158058
34,37,33271.99604341011
32,39,29157.005738565327
44,6,2800.2063011517703
37,0,9479.850490215653
52,18,9536.233529845857
32,15,17897.588930954455
37,13,9771.77010313925
29,31,31019.539447449075
25,27,18006.48478507559
25,7,11820.652878119783
46,32,25172.914696991204
24,8,10377.187413092824
53,2,10156.572987618105
24,39,14847.14630798914
48,29,20821.29446023836
50,8,8268.099233832447
53,22,28508.358319404866
40,10,13534.130607280318
42,34,24732.578787941722
26,21,22666.633646835737
39,12,11684.758570223516
49,10,17197.13892788295
43,22,21518.118663862355
42,13,13447.349210504171
27,24,19834.035756217752
22,12,12516.591973801822
26,19,12538.623518953302
33,3,7214.196085896828
47,2,9763.172992011372
55,8,9199.78770841146
35,12,13212.696115679146
47,24,17593.114358135175
48,3,644.129164480426
30,36,24241.724271245344
47,5,4941.180817472766
43,27,15070.1713004091
51,26,26231.81223427425
38,32,24144.98292693712
47,24,20497.264378144908
57,10,8884.071288315903
22,35,20978.46146817694
29,25,18293.60055227924
56,25,14358.839055699493
36,23,29431.16501924494
43,0,9040.439787964622
35,12,10287.589413948223
47,2,11699.131479193602
49,13,7142.791554038278
44,14,15771.580797294971
35,38,29854.018679138906
45,36,21415.272730338515
23,34,14656.406275876276
47,0,9369.970021618312
35,2,10593.631865676132
28,11,5783.31690657909
24,10,6223.944756074592
44,17,13890.932400150079
39,36,19953.467389637168
59,4,1842.921574370217
56,30,16715.192000296014
36,24,23448.28790936428
46,20,24138.67443986601
58,17,21256.72787810498
49,30,30634.906930044523
31,23,13718.161666190044
38,30,28357.502844887167
43,1,10211.843148619722
47,9,13890.161086942291
46,39,31973.02310310179
38,19,13265.587574745296
34,34,23520.34230030735
41,12,24165.909708953066
46,17,14621.4636950129
25,11,6209.663724807483
31,21,23971.8230304248
24,11,11824.553540305642
39,30,20406.477834373156
57,35,29613.872749932754
43,1,10181.196018688306
55,30,22839.263543100704
29,25,16979.52139889039
40,0,5795.7541865936055
58,29,27338.656503830724
27,21,12981.203442428872
47,32,24611.194484911663
55,27,21765.496623338237
27,2,2422.8757022003365
58,10,13490.72057583215
54,18,11473.257154204406
43,32,27492.11261905154
42,3,-201.76788901827422
27,39,27035.23892823408
27,21,16358.922927840555
25,11,11244.500516366252
51,28,25276.987582643716
32,34,25433.24205345522
51,26,14171.889760350517
52,34,28482.380018298336
45,18,17654.269993480546
30,10,21663.7697622251
24,32,27272.385039712524
52,19,8194.99593614832
58,28,18613.08490433529
57,33,25262.79408831387
45,27,22120.879987522327
52,22,28568.60533777063
27,20,8617.10678913671
23,20,10378.380194172689
41,8,17988.35008889262
49,29,24778.17226278834
32,3,6277.23530162856
25,2,5181.607450019561
36,37,32455.722938250947
27,4,4336.455704861928
51,22,18758.334242278277
59,38,35355.24098269732
23,33,23953.00856199879
36,14,11832.4429373754
32,2,10613.093178160792
29,33,12857.11282092585
47,0,10144.665937972546
26,10,11642.486288872906
27,16,18565.783091423684
47,36,21733.38353454119
25,25,17307.40358068827
40,28,30825.31538562427
41,31,18367.28088268301
54,13,8736.574559402268
41,18,19400.786833411003
33,38,31850.684824021588
22,31,20774.04316717069
47,6,12186.763220749996
35,3,10181.108459232302
59,0,8105.521428075245
58,15,27791.651257034806
32,23,16793.636686028563
57,24,27917.1707537922
34,0,3369.0911969784297
24,36,27625.089441848828
54,21,13220.472001575006
27,21,14976.543021108944
31,20,25040.401554853397
26,38,20768.48300359002
44,32,23040.49964738353
31,28,16360.560964973642
23,24,13089.27744566957
34,30,17179.943023744294
23,6,4717.986300368346
41,29,28460.073559585217
22,8,16933.249695525286
58,23,36232.838614190274
30,11,19595.897640075716
38,12,9675.76885213283
30,22,21438.670631698416
32,12,20411.55391745139
36,29,21817.646441278135
45,26,17168.39878740264
59,32,30207.92363224249
56,23,22223.676050553928
51,14,9580.585575515499
52,15,16537.05553640232
26,19,17521.91080070377
35,20,17708.85160597163
32,18,5270.6460208243025
30,18,14297.889392971769
55,24,25673.139325847384
33,29,28181.859207960006
56,8,18187.110162235567
56,14,23545.393100481517
22,9,9881.733507656776
43,31,21549.211526619536
50,35,20054.751622338794
29,6,-230.1003576498515
32,32,20484.080905656952
58,9,9696.680719611188
35,36,25113.861537311284
51,5,7039.683624839849
56,14,10242.381821599834
42,16,5547.284559051121
58,7,13387.787749974335
26,37,33603.77400556627
40,8,9860.805207738922
35,20,10632.121884746768
47,26,16016.800039304773
25,3,19226.587842635992
46,16,6906.374303995255
46,17,12363.554585999238
39,23,19592.00660914546
29,29,27957.952500831983
35,35,26495.059803782337
53,34,17619.990885846557
59,10,4928.526824709754
54,22,3858.4406644703104
44,34,28125.950615858947
36,12,15230.505641418784
54,6,13009.110884927402
46,36,27701.807269050125
38,11,10909.758242329985
54,23,17236.853647971435
23,26,21754.237991412436
35,21,9041.164163265312
27,2,8213.812012546412
27,13,22548.538566169973
24,7,14028.516463129967
28,12,13660.021439650965
29,14,13902.467432997399
36,10,7012.116140497774
50,18,14633.588032203414
54,9,16770.901625895072
51,33,21281.585904191244
48,16,8221.640631051778
57,0,6107.967501672838
50,6,19552.67991123039
59,10,15631.048256479955
54,5,14626.652993817508
58,32,32432.13894941506
48,24,20626.149503247285
54,4,8000.87406085205
25,37,26117.21201147515
43,32,26311.383752554037
23,18,15124.227328605022
31,11,16790.391399917487
26,32,22998.531338465626
31,29,17859.216101900372
54,22,19275.035367865705
59,22,29748.431459956482
34,29,22568.060322740952
52,25,14774.638693133118
57,28,28391.25622978685
45,15,18876.50864051444
36,38,20381.45649497333
50,20,15534.9031372043
29,8,13642.566195659401
26,36,26183.543186534404
50,17,13270.030914879171
25,2,4733.89774399399
33,31,35359.44588364026
23,31,29092.251784739565
48,39,19934.793059034055
52,35,28095.370101060103
57,5,8724.573649373462
57,2,8784.252508867772
47,19,27773.943820500514
48,18,23277.955430489634
26,4,24152.982140888842
41,9,9502.602615484255
32,38,20003.439749996684
31,10,4516.874405568539
59,31,25055.630607160703
27,16,9450.070218002347
29,19,23639.5394412069
44,29,21310.84484299913
47,15,18425.405110312415
33,3,4226.046265996301
47,19,16605.44732080334
34,39,23805.437729950198
39,34,28562.543789233263
46,15,11978.58345965925
54,22,17849.85939911732
33,37,16098.7019274108
57,20,17983.340435402242
25,20,11390.423381266599
26,13,8408.57113263926
58,9,14466.010469059895
29,29,24689.770019724812
49,21,20728.126065247136
52,5,6966.8268445933645
30,19,29134.074512191677
50,22,23220.463186163273
35,19,16576.945510162852
43,16,4746.461287997434
32,12,11094.900423576904
44,32,20307.21024763926
22,23,12296.335211156356
58,37,28420.36788919686
42,34,24251.659363865
47,33,27985.033254228874
57,21,21813.563171545364
44,31,26134.926035840766
22,15,11391.55725030762
36,31,19160.360921541615
42,35,24004.548615469223
30,29,14693.95112265748
30,6,-2617.001019452773
31,4,9049.87085700757
47,0,3782.189702803568
56,38,25506.323346911624
46,19,16360.203548454661
47,37,33050.91147146437
32,28,18579.31349636003
59,9,20734.526929366104
23,7,9133.779871410552
28,28,12941.212022071217
39,39,27217.779858060097
48,38,29377.323996957057
55,37,22510.9573635666
48,3,7320.173189614293
38,39,28416.62306591629
45,37,25680.531307233206
46,30,23124.816257832957
28,15,7804.375974189866
27,3,-399.17004489322335
45,12,10904.163879235835
54,0,5082.878368177892
50,21,9395.168111280276
43,1,4664.891693933513
47,24,15354.936575955891
49,23,26973.992482284615
42,5,10711.076611367895
28,20,12587.414946011926
38,19,19366.53476473871
41,5,-630.5603749573493
41,12,7970.453014302919
43,22,17769.220571841757
49,13,18956.257348975018
28,3,12051.860438455078
22,5,4411.783284837158
53,23,22372.486411012815
34,28,19701.37535537785
51,21,17713.567296204616
44,33,29031.119709671657
40,12,20076.618303783336
53,4,12754.078853979143
51,24,18748.790593256585
50,30,26327.48852456392
50,36,20622.463077936503
51,19,17814.02937315408
37,36,21829.754336064634
40,23,15477.136804700596
39,18,12597.832493865792
22,38,23357.03421368145
35,19,17907.681555191677
23,33,12736.332051168789
49,23,24275.51280553618
51,6,11710.09535826121
59,11,13830.134893552575
25,11,2121.4298599574395
22,25,12570.722277015295
29,26,17584.500776462537
50,22,20384.578902743728
24,39,20787.395638351678
53,36,30329.20145594399
31,31,21702.527498929398
31,18,28688.297030048147
40,18,18239.131517267793
55,3,9616.91087181126
54,5,6524.94756857836
44,27,29890.289566154308
49,32,34417.9981699287
53,25,21104.757119053873
28,5,10843.081540539544
50,7,12084.797656018296
29,0,10055.943962886955
22,8,4491.502859138969
24,28,20472.808019457912
45,17,3699.7501818648507
44,15,14010.808132789283
29,23,21422.818699690266
58,18,13210.30931022255
24,24,19744.175944698934
54,14,19248.589092481197
49,13,24395.84142650625
29,18,16842.746379517783
55,21,11669.186516449941
56,2,6387.763314156928
53,33,18683.23952105729
45,13,14980.76382566377
35,11,9698.528715187924
53,22,17602.590762922693
37,27,20769.98388232514
25,11,16385.02205215284
58,4,5775.110649249921
42,36,29257.676582608976
35,35,25770.140610228176
52,31,23893.23230645901
39,20,10157.982949691272
28,30,14290.916434007238
31,39,28956.304944956857
28,39,23303.709942938367
54,31,21749.132391198593
44,24,18087.774303802056
42,2,14634.659113479942
40,25,16980.501269078428
40,39,21235.63323200814
57,0,11041.21367328905
50,1,6537.40279360265
39,17,12670.783114726895
23,33,20806.63892335052
22,10,4161.151209491337
26,25,12713.106618876212
41,14,12444.390498337585
32,23,14375.368386678885
23,27,19769.73943409555
24,38,20453.37168880358
44,35,25868.82641282594
33,12,17342.19744493908
41,6,8263.199321578351
26,12,12251.594357650893
58,35,27125.942430417443
59,18,15681.845380118886
51,39,27822.779406080386
30,19,14885.970883386704
55,5,17177.52478857044
56,38,24531.635558078593
43,6,20850.995483363877
45,18,13556.371898382513
38,0,6062.715935628026
31,19,17151.067264568876
51,30,26843.207053214934
44,19,8518.32253861306
53,16,22133.16741964556
38,26,21528.72221195407
38,11,4183.410006538896
35,27,10217.667991809696
30,13,9952.547119660594
23,4,12029.109293186888
46,17,19668.04222034834
30,20,16512.079537943613
43,25,16048.144993949143
25,32,17781.61544821824
47,11,11743.841981826736
50,21,17675.655681011256
55,28,21021.17941233681
44,30,22127.650731767815
58,29,32483.40615969505
32,19,21055.06162734018
27,0,948.140313341104
39,13,13757.253645078312
42,38,32219.114579649926
57,6,11993.71397164041
59,10,16084.785598503131
55,19,16477.10293244984
38,22,7632.514993394108
58,35,35191.60583932442
46,1,580.4437610432287
59,12,18104.028163811814
33,28,21698.924114821733
44,36,19859.25574000963
43,12,13006.469159462384
42,26,25292.387009838283
48,35,22473.04280433668
52,22,11501.20710778713
27,1,11068.035397119773
48,7,14016.951389121792
55,13,12298.109945072643
33,17,23202.066507508054
28,7,7757.864274640833
31,0,2846.3374118316965
38,23,24070.058047951574
47,24,15492.77969812971
42,12,12172.528393116361
49,18,17009.000354082546
23,25,9893.231430802978
22,14,19287.57014853618
57,18,20678.831613092854
47,7,16308.48313442518
50,16,18517.11059827765
42,38,26299.341324421406
32,21,9776.752540112495
32,35,33865.37091211664
57,32,17271.49053965567
56,34,14206.112265605672
55,26,22718.01158119697
45,16,10183.78007204191
43,11,4615.716155901896
26,23,10967.31865521133
54,0,5087.8821784683
57,15,16192.593211979749
41,39,31697.82028382783
40,25,30185.724611216916
56,2,3820.117427047997
38,24,16547.28511165756
55,23,26257.473322012615
30,21,22861.358941443366
47,35,28340.85252059196
23,27,17786.110341615717
30,36,29284.597826783614
30,22,27615.534608936272
38,20,9014.318601461438
22,30,25877.885885219337
46,29,16535.153094576304
46,3,12673.441774599283
56,33,24746.160471991472
